rule,name,value
ruler_0_r,average,4.003
ruler_1_r,average,4.003
ruler_2_r,average,4.003
ruler_3_lr,average,4.003
ruler_3_lr-rev,average,4.003
ruler_4_lr,average,4.003
ruler_4_lr-rev,average,4.003
ruler_5_lr,average,4.003
ruler_5_lr-rev,average,4.003
ruler_6_r,average,4.003
ruler_7_lr,average,4.003
ruler_7_lr-rev,average,4.003
ruler_8_lr,average,4.003
ruler_8_lr-rev,average,4.003
ruler_9_lr,average,4.003
ruler_9_lr-rev,average,4.003
ruler_10_lr,average,4.003
ruler_10_lr-rev,average,4.003
ruler_11_lr,average,4.003
ruler_11_lr-rev,average,4.003
ruler_12_lr,average,4.003
ruler_12_lr-rev,average,4.003
ruler_13_lr,average,4.003
ruler_13_lr-rev,average,4.003
ruler_14_lr,average,4.003
ruler_14_lr-rev,average,4.003
ruler_15_lr,average,4.003
ruler_15_lr-rev,average,4.003
ruler_16_lr,average,4.003
ruler_16_lr-rev,average,4.003
ruler_17_r,average,4.003
ruler_18_lr,average,4.003
ruler_18_lr-rev,average,4.003
ruler_19_lr,average,4.003
ruler_19_lr-rev,average,4.003
ruler_20_lr,average,4.003
ruler_20_lr-rev,average,4.003
ruler_21_r,average,4.003
ruler_22_r,average,4.003
ruler_23_r,average,4.003
ruler_24_r,average,4.003
ruler_25_r,average,4.003
ruler_26_r,average,4.003
ruler_27_r,average,4.003
ruler_28_r,average,4.003
ruler_29_r,average,4.003
ruler_30_r,average,4.003
ruler_31_r,average,4.003
ruler_32_r,average,4.003
ruler_33_r,average,4.003
ruler_34_r,average,4.003
ruler_35_r,average,4.003
ruler_36_r,average,4.003
ruler_37_r,average,4.003
ruler_38_r,average,4.003
ruler_39_r,average,4.003
ruler_40_r,average,6.004
ruler_41_lr,average,6.004
ruler_41_lr-rev,average,6.004
ruler_42_lr,average,6.004
ruler_42_lr-rev,average,6.004
ruler_43_lr,average,6.004
ruler_43_lr-rev,average,6.004
ruler_44_lr,average,6.004
ruler_44_lr-rev,average,6.004
ruler_45_r,average,6.004
ruler_46_lr,average,6.004
ruler_46_lr-rev,average,6.004
ruler_47_lr,average,6.004
ruler_47_lr-rev,average,6.004
ruler_48_lr,average,6.004
ruler_48_lr-rev,average,6.004
ruler_49_lr,average,6.004
ruler_49_lr-rev,average,6.004
ruler_50_lr,average,6.004
ruler_50_lr-rev,average,6.004
ruler_51_r,average,6.004
ruler_52_r,average,6.004
ruler_53_r,average,6.004
ruler_54_r,average,6.004
ruler_55_lr,average,6.004
ruler_55_lr-rev,average,6.004
ruler_56_lr,average,6.004
ruler_56_lr-rev,average,6.004
ruler_57_lr,average,6.004
ruler_57_lr-rev,average,6.004
ruler_58_lr,average,6.004
ruler_58_lr-rev,average,6.004
ruler_59_lr,average,6.004
ruler_59_lr-rev,average,6.004
ruler_60_lr,average,6.004
ruler_60_lr-rev,average,6.004
ruler_61_lr,average,6.004
ruler_61_lr-rev,average,6.004
ruler_62_lr,average,6.004
ruler_62_lr-rev,average,6.004
ruler_63_lr,average,6.004
ruler_63_lr-rev,average,6.004
ruler_64_lr,average,6.004
ruler_64_lr-rev,average,6.004
ruler_65_r,average,6.004
ruler_66_r,average,6.004
ruler_67_r,average,6.004
ruler_68_r,average,6.004
ruler_69_lr,average,6.004
